Prompt,Field,Type,Constraint
6.308,endofdayrate,numeric,None
2011-06-03 00:00:00,modifieddate,timestamp without time zone,None
274,businessentityid,integer,PRIMARY KEY
2011-08-31 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
7000,salesquota,numeric,CHECK
dfd01444-8900-461c-8d6f-04598dae01d4,rowguid,uuid,None
2011-07-17 00:00:00,modifieddate,timestamp without time zone,None
747,productid,integer,PRIMARY KEY
2013-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
,enddate,timestamp without time zone,CHECK
739.041,standardcost,numeric,CHECK
2013-05-16 00:00:00,modifieddate,timestamp without time zone,None
MA,countryregioncode,character varying,PRIMARY KEY
MAD,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
27,purchaseorderid,integer,PRIMARY KEY
64,purchaseorderdetailid,integer,PRIMARY KEY
2011-12-29 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
344,productid,integer,None
39.0705,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-12-22 00:00:00,modifieddate,timestamp without time zone,None
380,productid,integer,PRIMARY KEY
1536,businessentityid,integer,PRIMARY KEY
15,averageleadtime,integer,CHECK
41.16,standardprice,numeric,CHECK
43.218,lastreceiptcost,numeric,CHECK
2011-08-26 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
3,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-26 00:00:00,modifieddate,timestamp without time zone,None
464,businessentityid,integer,PRIMARY KEY
463,personid,integer,PRIMARY KEY
14,contacttypeid,integer,PRIMARY KEY
b4290adf-b4ad-4f11-8ec6-cc5816dd341a,rowguid,uuid,None
2017-12-13 13:21:07.710000,modifieddate,timestamp without time zone,None
150,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Michael,firstname,character varying,None
T,middlename,character varying,None
Vanderhyde,lastname,character varying,None
,suffix,character varying,None
2,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
944ae1f8-e154-4752-9a24-8e8fe85156f3,rowguid,uuid,None
2009-02-19 00:00:00,modifieddate,timestamp without time zone,None
43750,salesorderid,integer,PRIMARY KEY
8,revisionnumber,smallint,None
2011-06-13 00:00:00,orderdate,timestamp without time zone,CHECK
2011-06-25 00:00:00,duedate,timestamp without time zone,CHECK
2011-06-20 00:00:00,shipdate,timestamp without time zone,CHECK
5,status,smallint,CHECK
True,onlineorderflag,boolean,None
,purchaseordernumber,character varying,None
10-4030-011591,accountnumber,character varying,None
11591,customerid,integer,None
,salespersonid,integer,None
7,territoryid,integer,None
26694,billtoaddressid,integer,None
26694,shiptoaddressid,integer,None
1,shipmethodid,integer,None
15541,creditcardid,integer,None
1131100Vi80273,creditcardapprovalcode,character varying,None
177,currencyrateid,integer,None
3578.27,subtotal,numeric,CHECK
286.2616,taxamt,numeric,CHECK
89.4568,freight,numeric,CHECK
3953.9884,totaldue,numeric,None
,comment,character varying,None
9f5b2b08-c237-4691-b757-a5d15970a6dc,rowguid,uuid,None
2011-06-20 00:00:00,modifieddate,timestamp without time zone,None
365,productid,integer,PRIMARY KEY
1554,businessentityid,integer,PRIMARY KEY
19,averageleadtime,integer,CHECK
41.26,standardprice,numeric,CHECK
43.323,lastreceiptcost,numeric,CHECK
2011-08-24 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CS ,unitmeasurecode,character,None
2011-08-24 00:00:00,modifieddate,timestamp without time zone,None
BRL,currencycode,character,PRIMARY KEY
Brazilian Real,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
49,businessentityid,integer,PRIMARY KEY
607ff863-f3bc-42bb-b399-b438f6d39651,rowguid,uuid,None
2017-12-13 13:20:26.883000,modifieddate,timestamp without time zone,None
110,workorderid,integer,PRIMARY KEY
771,productid,integer,PRIMARY KEY
7,operationsequence,smallint,PRIMARY KEY
60,locationid,smallint,None
2011-06-04 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-15 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-09 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-15 00:00:00,actualenddate,timestamp without time zone,CHECK
4.0000,actualresourcehrs,numeric,CHECK
49,plannedcost,numeric,CHECK
49,actualcost,numeric,CHECK
2011-06-15 00:00:00,modifieddate,timestamp without time zone,None
5,currencyrateid,integer,PRIMARY KEY
2011-05-31 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
CNY,tocurrencycode,character,None
8.2781,averagerate,numeric,None
8.2784,endofdayrate,numeric,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
30,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Britta,firstname,character varying,None
L,middlename,character varying,None
Simon,lastname,character varying,None
,suffix,character varying,None
0,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
5090c9a8-e39e-4a4d-9133-14e7cf07998b,rowguid,uuid,None
2009-01-22 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
721,productid,integer,PRIMARY KEY
0fe22357-94a1-4080-b941-2af7e3513e40,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
ES,countryregioncode,character varying,PRIMARY KEY
Spain,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
352,productid,integer,PRIMARY KEY
1544,businessentityid,integer,PRIMARY KEY
15,averageleadtime,integer,CHECK
1.1,standardprice,numeric,CHECK
1.155,lastreceiptcost,numeric,CHECK
2011-08-26 00:00:00,lastreceiptdate,timestamp without time zone,None
100,minorderqty,integer,CHECK
1000,maxorderqty,integer,CHECK
300,onorderqty,integer,CHECK
EA ,unitmeasurecode,character,None
2011-08-26 00:00:00,modifieddate,timestamp without time zone,None
74,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Bjorn,firstname,character varying,None
M,middlename,character varying,None
Rettig,lastname,character varying,None
,suffix,character varying,None
1,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
056617d9-e65f-41c7-98af-9c14c4569652,rowguid,uuid,None
2008-12-31 00:00:00,modifieddate,timestamp without time zone,None
141,productphotoid,integer,PRIMARY KEY
<memory at 0x000001E010B68DC0>,thumbnailphoto,bytea,None
frame_small.gif,thumbnailphotofilename,character varying,None
<memory at 0x000001E010B68F40>,largephoto,bytea,None
frame_large.gif,largephotofilename,character varying,None
2012-10-19 09:56:38.273000,modifieddate,timestamp without time zone,None
59,businessentityid,integer,PRIMARY KEY
2008-12-24 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
11,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
76,businessentityid,integer,PRIMARY KEY
20,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
e09f8e13-7912-46cb-a8d8-417b2fa22229,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
481,productid,integer,PRIMARY KEY
Metal Plate 3,name,character varying,None
MP-4960,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
8b7e90e5-7785-455e-bc7c-e962f18c6848,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
97,workorderid,integer,PRIMARY KEY
529,productid,integer,None
460,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-13 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-13 00:00:00,modifieddate,timestamp without time zone,None
760,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
413.1463,standardcost,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
119,creditcardid,integer,PRIMARY KEY
Distinguish,cardtype,character varying,None
55551090366683,cardnumber,character varying,None
1,expmonth,smallint,None
2006,expyear,smallint,None
2009-02-06 00:00:00,modifieddate,timestamp without time zone,None
85,businessentityid,integer,PRIMARY KEY
xZNvaAVnZiGqmL/AUwAwgRShl4po8j8szep2gbwhAig=,passwordhash,character varying,None
gpzwvOQ=,passwordsalt,character varying,None
18c6d05e-6715-44b7-8383-e296e1688e90,rowguid,uuid,None
2009-12-04 00:00:00,modifieddate,timestamp without time zone,None
530,businessentityid,integer,PRIMARY KEY
Outdoor Distributors,name,character varying,None
275,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1974</YearOpened><Specialty>Mountain</Specialty><SquareFeet>36000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>39</NumberEmployees></StoreSurvey>',demographics,xml,None
b7004ace-63fa-4cab-8057-8456750c2dc0,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
57,purchaseorderid,integer,PRIMARY KEY
127,purchaseorderdetailid,integer,PRIMARY KEY
2012-02-07 00:00:00,duedate,timestamp without time zone,None
60,orderqty,smallint,CHECK
356,productid,integer,None
3.381,unitprice,numeric,CHECK
60.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2012-01-31 00:00:00,modifieddate,timestamp without time zone,None
27,purchaseorderid,integer,PRIMARY KEY
4,revisionnumber,smallint,None
4,status,smallint,CHECK
255,employeeid,integer,None
1598,vendorid,integer,None
4,shipmethodid,integer,None
2011-12-15 00:00:00,orderdate,timestamp without time zone,CHECK
2011-12-24 00:00:00,shipdate,timestamp without time zone,CHECK
722.61,subtotal,numeric,CHECK
57.8088,taxamt,numeric,CHECK
18.0653,freight,numeric,CHECK
2011-12-24 00:00:00,modifieddate,timestamp without time zone,None
85,workorderid,integer,PRIMARY KEY
994,productid,integer,None
224,orderqty,integer,CHECK
4,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
14,scrapreasonid,smallint,None
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
1660,businessentityid,integer,PRIMARY KEY
MAGICCY0001,accountnumber,character varying,None
Magic Cycles,name,character varying,None
1,creditrating,smallint,CHECK
True,preferredvendorstatus,boolean,None
True,activeflag,boolean,None
,purchasingwebserviceurl,character varying,None
2012-01-25 00:00:00,modifieddate,timestamp without time zone,None
43712,salesorderid,integer,PRIMARY KEY
5,salesreasonid,integer,PRIMARY KEY
2011-06-03 00:00:00,modifieddate,timestamp without time zone,None
41,customerid,integer,PRIMARY KEY
,personid,integer,None
1002,storeid,integer,None
4,territoryid,integer,None
e1ba20ed-da19-4392-a8a8-c2e670438ffb,rowguid,uuid,None
2014-09-12 11:15:07.263000,modifieddate,timestamp without time zone,None
61,workorderid,integer,PRIMARY KEY
741,productid,integer,None
7,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-13 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-13 00:00:00,modifieddate,timestamp without time zone,None
102,businessentityid,integer,PRIMARY KEY
4deb3443-fd33-43d1-9e22-d780bd72165f,rowguid,uuid,None
2017-12-13 13:20:29.320000,modifieddate,timestamp without time zone,None
43668,salesorderid,integer,PRIMARY KEY
84,salesorderdetailid,integer,PRIMARY KEY
365D-4C9A-BE,carriertrackingnumber,character varying,None
6,orderqty,smallint,CHECK
765,productid,integer,None
1,specialofferid,integer,None
419.4589,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
cc2e1b7e-a197-45b1-8b44-59bf44c42f5e,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
1630,businessentityid,integer,PRIMARY KEY
INDIANA0001,accountnumber,character varying,None
Indiana Bicycle Center,name,character varying,None
1,creditrating,smallint,CHECK
True,preferredvendorstatus,boolean,None
True,activeflag,boolean,None
,purchasingwebserviceurl,character varying,None
2012-02-02 00:00:00,modifieddate,timestamp without time zone,None
137,purchaseorderid,integer,PRIMARY KEY
6,revisionnumber,smallint,None
4,status,smallint,CHECK
255,employeeid,integer,None
1562,vendorid,integer,None
4,shipmethodid,integer,None
2012-04-11 00:00:00,orderdate,timestamp without time zone,CHECK
2012-04-20 00:00:00,shipdate,timestamp without time zone,CHECK
722.4525,subtotal,numeric,CHECK
57.7962,taxamt,numeric,CHECK
18.0613,freight,numeric,CHECK
2012-04-20 00:00:00,modifieddate,timestamp without time zone,None
349,productid,integer,PRIMARY KEY
1622,businessentityid,integer,PRIMARY KEY
19,averageleadtime,integer,CHECK
43.28,standardprice,numeric,CHECK
45.444,lastreceiptcost,numeric,CHECK
2011-08-18 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-18 00:00:00,modifieddate,timestamp without time zone,None
162,productphotoid,integer,PRIMARY KEY
<memory at 0x000001E010B58A00>,thumbnailphoto,bytea,None
awc_jersey_male_small.gif,thumbnailphotofilename,character varying,None
<memory at 0x000001E010B58B80>,largephoto,bytea,None
awc_jersey_male_large.gif,largephotofilename,character varying,None
2011-05-01 00:00:00,modifieddate,timestamp without time zone,None
Front Reflector Bracket Installation,title,character varying,None
220,owner,integer,None
False,folderflag,boolean,None
Front Reflector Bracket Installation.doc,filename,character varying,None
.doc,fileextension,character varying,None
1    ,revision,character,None
15,changenumber,integer,None
2,status,smallint,CHECK
Reflectors are vital safety components of your bicycle. Always ensure your front and back reflectors are clean and in good repair. Detailed instructions and illustrations are included should you need to replace the front reflector or front reflector bracket of your Adventure Works Cycles bicycle.\n\n,documentsummary,text,None
<memory at 0x000001E01095DE40>,document,bytea,None
52f6be23-5363-4d93-96ae-f714b851e52c,rowguid,uuid,UNIQUE
2012-04-30 00:00:00,modifieddate,timestamp without time zone,None
/3/2/,documentnode,character varying,PRIMARY KEY
41,businessentityid,integer,PRIMARY KEY
712-555-0113,phonenumber,character varying,PRIMARY KEY
1,phonenumbertypeid,integer,PRIMARY KEY
2009-01-14 00:00:00,modifieddate,timestamp without time zone,None
497,businessentityid,integer,PRIMARY KEY
14363,creditcardid,integer,PRIMARY KEY
2011-07-01 00:00:00,modifieddate,timestamp without time zone,None
MR,countryregioncode,character varying,PRIMARY KEY
Mauritania,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
45,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Thomas,firstname,character varying,None
R,middlename,character varying,None
Michaels,lastname,character varying,None
,suffix,character varying,None
1,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
2caf9adc-7a33-48cf-b4b7-3c57d9de39c4,rowguid,uuid,None
2009-02-19 00:00:00,modifieddate,timestamp without time zone,None
16,businessentityid,integer,PRIMARY KEY
16,emailaddressid,integer,PRIMARY KEY
david0@adventure-works.com,emailaddress,character varying,None
80c0d44a-78b6-42ac-ae8d-410a22a6be63,rowguid,uuid,None
2007-12-13 00:00:00,modifieddate,timestamp without time zone,None
347,productid,integer,PRIMARY KEY
Flat Washer 8,name,character varying,None
FW-5800,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
1b73f5fe-ab85-49fc-99ad-0500cebda91d,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
769,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
413.1463,standardcost,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
52,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Doris,firstname,character varying,None
M,middlename,character varying,None
Hartwig,lastname,character varying,None
,suffix,character varying,None
0,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
075ab67f-bfbd-4433-b33e-c65b2c045b6b,rowguid,uuid,None
2014-01-31 00:00:00,modifieddate,timestamp without time zone,None
80,businessentityid,integer,PRIMARY KEY
ip1GbTfmfkBySiZWT6JB38MPO92t0l8ubKdsvM0AmDg=,passwordhash,character varying,None
n+8wils=,passwordsalt,character varying,None
2180d769-db7f-4a64-b83c-1d8acb104e88,rowguid,uuid,None
2010-01-10 00:00:00,modifieddate,timestamp without time zone,None
90,businessentityid,integer,PRIMARY KEY
2010-02-20 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
13.45,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
89,productphotoid,integer,PRIMARY KEY
<memory at 0x000001E010BEC940>,thumbnailphoto,bytea,None
julianax_r_02_f_blue_small.gif,thumbnailphotofilename,character varying,None
<memory at 0x000001E010BECAC0>,largephoto,bytea,None
julianax_r_02_f_blue_large.gif,largephotofilename,character varying,None
2012-10-19 09:56:38.273000,modifieddate,timestamp without time zone,None
43677,salesorderid,integer,PRIMARY KEY
157,salesorderdetailid,integer,PRIMARY KEY
8E3A-4564-99,carriertrackingnumber,character varying,None
1,orderqty,smallint,CHECK
758,productid,integer,None
1,specialofferid,integer,None
874.794,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
ba0904a3-12d4-4624-8db1-175bef162cdb,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
359,productid,integer,PRIMARY KEY
1,productphotoid,integer,PRIMARY KEY
True,primary,boolean,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
91,stateprovinceid,integer,PRIMARY KEY
05 ,stateprovincecode,character,None
FR,countryregioncode,character varying,None
False,isonlystateprovinceflag,boolean,None
Alpes (Haute),name,character varying,None
7,territoryid,integer,None
0af69922-9301-4e3e-8592-e7a268a27b7a,rowguid,uuid,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
29,purchaseorderid,integer,PRIMARY KEY
4,revisionnumber,smallint,None
4,status,smallint,CHECK
259,employeeid,integer,None
1536,vendorid,integer,None
4,shipmethodid,integer,None
2012-01-08 00:00:00,orderdate,timestamp without time zone,CHECK
2012-01-17 00:00:00,shipdate,timestamp without time zone,CHECK
592.7985,subtotal,numeric,CHECK
47.4239,taxamt,numeric,CHECK
14.82,freight,numeric,CHECK
2012-01-17 00:00:00,modifieddate,timestamp without time zone,None
NP,countryregioncode,character varying,PRIMARY KEY
NPR,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
582,businessentityid,integer,PRIMARY KEY
Excellent Bikes,name,character varying,None
288,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1992</YearOpened><Specialty>Touring</Specialty><SquareFeet>75000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>81</NumberEmployees></StoreSurvey>',demographics,xml,None
cbc9be9e-5422-411c-b3ef-a301be4ae107,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
393,productid,integer,PRIMARY KEY
1562,businessentityid,integer,PRIMARY KEY
16,averageleadtime,integer,CHECK
37.21,standardprice,numeric,CHECK
39.0705,lastreceiptcost,numeric,CHECK
2011-08-04 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-04 00:00:00,modifieddate,timestamp without time zone,None
69,purchaseorderid,integer,PRIMARY KEY
158,purchaseorderdetailid,integer,PRIMARY KEY
2012-02-08 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
907,productid,integer,None
82.8345,unitprice,numeric,CHECK
550.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2012-02-01 00:00:00,modifieddate,timestamp without time zone,None
CL,countryregioncode,character varying,PRIMARY KEY
Chile,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
43763,salesorderid,integer,PRIMARY KEY
5,salesreasonid,integer,PRIMARY KEY
2011-06-16 00:00:00,modifieddate,timestamp without time zone,None
384,productid,integer,PRIMARY KEY
Hex Nut 12,name,character varying,None
HN-3816,productnumber,character varying,None
False,makeflag,boolean,None
False,finishedgoodsflag,boolean,None
,color,character varying,None
1000,safetystocklevel,smallint,CHECK
750,reorderpoint,smallint,CHECK
0,standardcost,numeric,CHECK
0,listprice,numeric,CHECK
,size,character varying,None
,sizeunitmeasurecode,character,None
,weightunitmeasurecode,character,None
,weight,numeric,CHECK
0,daystomanufacture,integer,CHECK
,productline,character,CHECK
,class,character,CHECK
,style,character,CHECK
,productsubcategoryid,integer,None
,productmodelid,integer,None
2008-04-30 00:00:00,sellstartdate,timestamp without time zone,CHECK
,sellenddate,timestamp without time zone,CHECK
,discontinueddate,timestamp without time zone,None
32c97696-7c3d-4793-a54b-3d73200badbc,rowguid,uuid,None
2014-02-08 10:01:36.827000,modifieddate,timestamp without time zone,None
82,businessentityid,integer,PRIMARY KEY
bkx8j854FLysBHt5GiNnQsj/Ig4RYpfmGQw8orfe4P4=,passwordhash,character varying,None
EvzgyaI=,passwordsalt,character varying,None
dfbd1d5b-334c-404a-8f95-70bea84dff70,rowguid,uuid,None
2010-02-24 00:00:00,modifieddate,timestamp without time zone,None
43661,salesorderid,integer,PRIMARY KEY
18,salesorderdetailid,integer,PRIMARY KEY
4E0A-4F89-AE,carriertrackingnumber,character varying,None
4,orderqty,smallint,CHECK
712,productid,integer,None
1,specialofferid,integer,None
5.1865,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
f0f410b6-bc93-4d77-b70d-e4e2465d98ee,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
GE,countryregioncode,character varying,PRIMARY KEY
Georgia,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
409,productid,integer,PRIMARY KEY
1,productphotoid,integer,PRIMARY KEY
True,primary,boolean,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
95,addressid,integer,PRIMARY KEY
1220 Bradford Way,addressline1,character varying,None
,addressline2,character varying,None
Seattle,city,character varying,None
79,stateprovinceid,integer,None
98104,postalcode,character varying,None
<memory at 0x000001E010C01B40>,spatiallocation,bytea,None
ef7470d7-d3ce-4e30-ae81-6e1f7752134e,rowguid,uuid,None
2008-12-08 00:00:00,modifieddate,timestamp without time zone,None
43783,salesorderid,integer,PRIMARY KEY
8,revisionnumber,smallint,None
2011-06-20 00:00:00,orderdate,timestamp without time zone,CHECK
2011-07-02 00:00:00,duedate,timestamp without time zone,CHECK
2011-06-27 00:00:00,shipdate,timestamp without time zone,CHECK
5,status,smallint,CHECK
True,onlineorderflag,boolean,None
,purchaseordernumber,character varying,None
10-4030-016620,accountnumber,character varying,None
16620,customerid,integer,None
,salespersonid,integer,None
9,territoryid,integer,None
26601,billtoaddressid,integer,None
26601,shiptoaddressid,integer,None
1,shipmethodid,integer,None
4651,creditcardid,integer,None
934630Vi24399,creditcardapprovalcode,character varying,None
262,currencyrateid,integer,None
3578.27,subtotal,numeric,CHECK
286.2616,taxamt,numeric,CHECK
89.4568,freight,numeric,CHECK
3953.9884,totaldue,numeric,None
,comment,character varying,None
4b963ee6-0b6e-4ad5-b778-a24757b6c1f2,rowguid,uuid,None
2011-06-27 00:00:00,modifieddate,timestamp without time zone,None
10,businessentityid,integer,PRIMARY KEY
10,emailaddressid,integer,PRIMARY KEY
michael6@adventure-works.com,emailaddress,character varying,None
e0dd366d-433d-4f5a-9347-1a5fe7fbe0a3,rowguid,uuid,None
2009-04-26 00:00:00,modifieddate,timestamp without time zone,None
492,businessentityid,integer,PRIMARY KEY
Coalition Bike Company,name,character varying,None
281,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1997</YearOpened><Specialty>Mountain</Specialty><SquareFeet>23000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>18</NumberEmployees></StoreSurvey>',demographics,xml,None
137fea4b-320d-4676-a548-8efcf1f6b36b,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
DOP,currencycode,character,PRIMARY KEY
Dominican Peso,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
